object_id;term_taxonomy_id;term_order
11909;265;0
11766;1;0
14057;390;0
11911;271;0
331;334;0
330;333;0
332;278;0
332;333;0
331;278;0
11762;1;0
15882;354;0
11982;273;0
1;278;0
11985;273;0
11787;1;0
11804;1;0
17050;275;0
17053;277;0
17047;317;0
17047;275;0
17050;336;0
16788;377;0
11785;1;0
17050;317;0
16788;34;0
14984;396;0
16788;277;0
11802;1;0
16789;277;0
16789;424;0
15896;367;0
15896;354;0
11910;267;0
11800;1;0
11910;265;0
13515;277;0
11783;1;0
11778;1;0
11758;1;0
11798;1;0
13505;34;0
13511;386;0
13505;277;0
14162;388;0
17427;277;0
17427;317;0
11910;268;0
11806;1;0
14165;388;0
14164;386;0
11796;1;0
11520;77;0
11636;195;0
11034;70;0
11630;195;0
11818;1;0
11349;70;0
11639;195;0
13511;37;0
8256;69;0
8257;69;0
8258;69;0
8259;69;0
11040;70;0
11041;70;0
11360;70;0
11042;70;0
11361;70;0
11048;70;0
11049;70;0
11362;70;0
11050;70;0
11363;70;0
11051;70;0
11364;70;0
11052;70;0
11365;70;0
11053;70;0
11366;70;0
11367;69;0
11368;70;0
11371;70;0
162;71;0
11753;1;0
14163;388;0
11773;1;0
11747;1;0
11909;263;0
11769;1;0
13510;36;0
13510;35;0
11794;1;0
11910;270;0
16755;277;0
11909;266;0
13510;41;0
13510;37;0
11910;269;0
13510;53;0
11808;1;0
11816;1;0
11792;1;0
13475;277;0
13505;36;0
11909;264;0
20054;321;0
13505;73;0
11820;1;0
11811;1;0
11813;1;0
13510;51;0
17913;277;0
13505;53;0
13505;51;0
13475;276;0
13505;41;0
13510;76;0
13510;277;0
16789;377;0
13505;64;0
13505;58;0
13510;34;0
13505;386;0
12311;267;0
12414;267;0
12643;267;0
1;279;0
282;281;0
13276;332;0
282;279;0
13344;318;0
12622;277;0
12604;277;0
12573;324;0
12578;312;0
12573;277;0
12265;277;0
12032;277;0
12029;277;0
20265;64;0
13513;36;0
11;280;0
13515;51;0
13515;37;0
13510;58;0
13513;35;0
13510;64;0
20568;271;0
11825;277;0
13515;41;0
330;278;0
11737;277;0
