term_id;name;slug
368;FORTUNE-TELLING;fortune-telling-n
367;Learning;learning-n
366;"Food &amp; Drink";food-drink
365;"Music &amp; Dance";music-dance-n
364;Meditation;meditation-n
361;Creative/Craft;creative-craft-n
360;"Outdoor &amp; Adventure";outdoor-adventure
362;Volunteer;volunteer-n
363;"Holidays &amp; Travelling";travelling-n
355;Physical - Active;physical-active-n
352;London, UK;london
351;pll_646b3a0f17940;pll_646b3a0f17940
347;pll_63da420d452df;pll_63da420d452df
336;Mental health;mental-health-2
335;pll_638f32ad029c6;pll_638f32ad029c6
334;pll_638f32ad029bd;pll_638f32ad029bd
333;pll_638f32ad029ac;pll_638f32ad029ac
332;first date;first-date
329;pll_63808e30ae0d1;pll_63808e30ae0d1
331;dress;dress
328;pll_637f327c62456;pll_637f327c62456
327;pll_637e20a58e6ef;pll_637e20a58e6ef
325;pll_63764783f2647;pll_63764783f2647
324;pll_63735d29a663f;pll_63735d29a663f
323;pll_636d13e7abf74;pll_636d13e7abf74
321;pages-menu;pages-menu
322;pages-menu-greek;pages-menu-greek
319;pll_636a12c718a0b;pll_636a12c718a0b
317;Relationship tips;relationship-tips
316;pll_636515313a036;pll_636515313a036
315;pll_6363a85335c81;pll_6363a85335c81
314;pll_63623c5865d52;pll_63623c5865d52
313;Main Menu Greek;main-menu-greek
312;pll_635a8a2026545;pll_635a8a2026545
389;Clubs;clubs-n
377;"HEALTH &amp; WELLNESS";health-wellness-n
369;BEAUTY;beauty-n
370;"Stylists &amp; Image Consultants";stylists-image-consultants-n
371;Tattoo Artists;tattoo-artists-n
372;Hair Salons;hair-salons-n
373;Makeup Salons;makeup-salons-n
374;Eyebrow salons / Eyelash salons;eyebrow-salons-eyelash-salons-n
375;Nail Salons;nail-salons-n
376;SOCIAL MEDIA CONSULTATION;social-media-consultants-n
306;pll_63594149dc7db;pll_63594149dc7db
307;pll_635941968b5af;pll_635941968b5af
308;pll_635a2ea43bab9;pll_635a2ea43bab9
309;pll_635a314550378;pll_635a314550378
311;pll_635a88e89a224;pll_635a88e89a224
305;pll_635940be90993;pll_635940be90993
304;pll_63594096a9db7;pll_63594096a9db7
300;pll_635932d445f67;pll_635932d445f67
330;style;style
310;pll_635a75bdd9357;pll_635a75bdd9357
299;pll_635932d445f61;pll_635932d445f61
388;Cafes;cafes-n
382;Dermatologists;dermatologists-n
383;Plastic surgeons;plastic-surgeons-n
384;Cosmetic dentistry;cosmetic-dentistry-n
386;VENUES;venues-n
387;Bars/Pubs;bars-pubs-n
298;pll_635932d445f5a;pll_635932d445f5a
397;"Self Esteem &amp; Confidence";self-esteem-confidence-n
392;Coming out;coming-out-n
393;Sexual identity;relationships-n
428;Relationships;relationships-n-lgbtq-community
396;PERSONAL DEVELOPMENT;personal-development-n
390;Restaurants;restaurants-n
73;Limassol, CY;limassol
74;Larnaca, CY;larnaca
75;Paphos, CY;paphos
76;Famagusta, CY;famagusta
430;Law Of Attraction;law-of-attraction-n
271;js;js
426;Anger Management;anger-management
